StimIndex	ExternalFilePath	PrefabPath
 0	S02_P02_C7070106_5000000_T00_A00_E00.fbx	""
 1	S02_P02_C7070148_5000000_T00_A00_E00.fbx	""
 2	S02_P02_C7070240_5000000_T00_A00_E00.fbx	""
 3	S02_P02_C7070286_5000000_T00_A00_E00.fbx	""
 4	S02_P03_C7070106_5000000_T00_A00_E00.fbx	""
 5	S02_P03_C7070148_5000000_T00_A00_E00.fbx	""
 6	S02_P03_C7070240_5000000_T00_A00_E00.fbx	""
 7	S02_P03_C7070286_5000000_T00_A00_E00.fbx	""
 8	S02_P06_C7070106_5000000_T00_A00_E00.fbx	""
 9	S02_P06_C7070148_5000000_T00_A00_E00.fbx	""
 10	S02_P06_C7070240_5000000_T00_A00_E00.fbx	""
 11	S02_P06_C7070286_5000000_T00_A00_E00.fbx	""
 12	S02_P08_C7070106_5000000_T00_A00_E00.fbx	""
 13	S02_P08_C7070148_5000000_T00_A00_E00.fbx	""
 14	S02_P08_C7070240_5000000_T00_A00_E00.fbx	""
 15	S02_P08_C7070286_5000000_T00_A00_E00.fbx	""
 16	S03_P02_C7070106_5000000_T00_A00_E00.fbx	""
 17	S03_P02_C7070148_5000000_T00_A00_E00.fbx	""
 18	S03_P02_C7070240_5000000_T00_A00_E00.fbx	""
 19	S03_P02_C7070286_5000000_T00_A00_E00.fbx	""
 20	S03_P03_C7070106_5000000_T00_A00_E00.fbx	""
 21	S03_P03_C7070148_5000000_T00_A00_E00.fbx	""
 22	S03_P03_C7070240_5000000_T00_A00_E00.fbx	""
 23	S03_P03_C7070286_5000000_T00_A00_E00.fbx	""
 24	S03_P06_C7070106_5000000_T00_A00_E00.fbx	""
 25	S03_P06_C7070148_5000000_T00_A00_E00.fbx	""
 26	S03_P06_C7070240_5000000_T00_A00_E00.fbx	""
 27	S03_P06_C7070286_5000000_T00_A00_E00.fbx	""
 28	S03_P08_C7070106_5000000_T00_A00_E00.fbx	""
 29	S03_P08_C7070148_5000000_T00_A00_E00.fbx	""
 30	S03_P08_C7070240_5000000_T00_A00_E00.fbx	""
 31	S03_P08_C7070286_5000000_T00_A00_E00.fbx	""
 32	S06_P02_C7070106_5000000_T00_A00_E00.fbx	""
 33	S06_P02_C7070148_5000000_T00_A00_E00.fbx	""
 34	S06_P02_C7070240_5000000_T00_A00_E00.fbx	""
 35	S06_P02_C7070286_5000000_T00_A00_E00.fbx	""
 36	S06_P03_C7070106_5000000_T00_A00_E00.fbx	""
 37	S06_P03_C7070148_5000000_T00_A00_E00.fbx	""
 38	S06_P03_C7070240_5000000_T00_A00_E00.fbx	""
 39	S06_P03_C7070286_5000000_T00_A00_E00.fbx	""
 40	S06_P06_C7070106_5000000_T00_A00_E00.fbx	""
 41	S06_P06_C7070148_5000000_T00_A00_E00.fbx	""
 42	S06_P06_C7070240_5000000_T00_A00_E00.fbx	""
 43	S06_P06_C7070286_5000000_T00_A00_E00.fbx	""
 44	S06_P08_C7070106_5000000_T00_A00_E00.fbx	""
 45	S06_P08_C7070148_5000000_T00_A00_E00.fbx	""
 46	S06_P08_C7070240_5000000_T00_A00_E00.fbx	""
 47	S06_P08_C7070286_5000000_T00_A00_E00.fbx	""
 48	S08_P02_C7070106_5000000_T00_A00_E00.fbx	""
 49	S08_P02_C7070148_5000000_T00_A00_E00.fbx	""
 50	S08_P02_C7070240_5000000_T00_A00_E00.fbx	""
 51	S08_P02_C7070286_5000000_T00_A00_E00.fbx	""
 52	S08_P03_C7070106_5000000_T00_A00_E00.fbx	""
 53	S08_P03_C7070148_5000000_T00_A00_E00.fbx	""
 54	S08_P03_C7070240_5000000_T00_A00_E00.fbx	""
 55	S08_P03_C7070286_5000000_T00_A00_E00.fbx	""
 56	S08_P06_C7070106_5000000_T00_A00_E00.fbx	""
 57	S08_P06_C7070148_5000000_T00_A00_E00.fbx	""
 58	S08_P06_C7070240_5000000_T00_A00_E00.fbx	""
 59	S08_P06_C7070286_5000000_T00_A00_E00.fbx	""
 60	S08_P08_C7070106_5000000_T00_A00_E00.fbx	""
 61	S08_P08_C7070148_5000000_T00_A00_E00.fbx	""
 62	S08_P08_C7070240_5000000_T00_A00_E00.fbx	""
 63	S08_P08_C7070286_5000000_T00_A00_E00.fbx	""
